卫生间	装修_毛	容积率_	绿化率_	物业费_	面积	地铁	学校	X	Y	建造年	房价
5	2	0.4	0.5	1.3	305.8	1276.118548	715.3567195	452614.7698	4440583.67	15	2000
3	2	2.71	0.36	2.3	170.6	662.7565519	653.4245343	437977.7408	4420048.161	28	1850
3	2	0.38	0.46	4.3	229.2	5466.755918	98.99591485	449653.1085	4445017.571	21	1200
3	2	0.5	0.4	2	188.3	544.4982482	782.2946772	460474.7043	4434951.151	14	2100
1	1	3.05	0.4	6.5	76.6	50.10310488	34.52937328	452956.7532	4418662.81	29	940
2	2	2.5	0.3	2.5	98	1312.935556	809.4670583	431899.6268	4420989.438	43	590
1	2	1.2	0.15	0.65	87.5	1959.470375	781.364526	431098.5867	4421866.997	20	380
1	2	0.89	0.47	7.9	380.2	1011.441913	729.7412567	461431.8357	4433924.041	40	1550
4	2	2	0.35	1.5	300	500.202753	300.3838524	455053.7144	4424479.276	21	2500
4	1	1.2	0.25	1	228	859.630789	331.2260897	429914.1619	4418528.727	21	1050
1	2	2.5	0.3	0.55	58.4	1198.82571	432.2899321	431445.3821	4418198.487	7	328
2	2	4.78	0.31	2	145.1	1041.623954	420.0897676	432492.7092	4417573.405	25	785
1	2	3.8	0.31	1.95	50.1	307.1609677	88.54865536	431919.3936	4417047.082	26	280
2	2	2.79	0.3	4.38	124	797.3479722	141.688552	427956.6752	4419259.636	42	900
3	2	1.2	0.2	0.9	221.7	1086.420617	122.7767681	430235.583	4417935.679	42	2530
1	1	3.2	0.3	0.64	60.3	1010.491325	509.1853359	432177.891	4417851.118	21	305
1	2	2.57	0.45	2.1	90.3	708.4365995	379.0775189	431515.0784	4416315.438	32	586
2	2	2.8	0.3	6.6	124	880.3060252	66.88760002	430439.9857	4417477.983	42	900
3	2	0.81	0.4	1.6	237	2916.514161	2244.004059	441140.1484	4450871.495	42	800
2	2	2.15	0.3	3.68	192	1719.868401	494.8854095	455131.4635	4403686.94	33	920
4	2	0.33	0.64	2.28	360.8	6226.852031	432.9533046	450562.7468	4446695.119	24	1500
3	2	0.5	0.45	2	423.6	1104.034571	1246.141648	438511.1048	4440624.045	15	2200
4	2	0.5	0.45	4.98	360	5276.916442	208.7252694	448956.815	4443696.836	42	1200
1	2	1.2	0.3	0.9	42.2	905.471051	374.152116	432502.7151	4417190.475	7	235
1	2	1.2	0.3	1.8	54.9	415.780104	599.3924377	431218.0173	4416886.123	7	262
4	2	0.62	0.45	6.8	360.8	3854.730455	409.931721	457404.0456	4436980.833	24	1500
4	2	0.58	0.7	3.2	341.2	5298.457097	2138.384524	477187.5648	4440356.497	21	850
5	2	2.2	0.3	7.6	270.6	307.8746834	1085.711467	444930.6908	4405967.583	37	1040
1	2	2.5	0.3	1.98	93.3	1361.142349	773.9516702	461768.4808	4423267.146	31	1350
1	2	1	0.2	2	95.7	757.8530194	822.6844014	469973.4392	4418800.636	26	238
1	1	2	0.3	0.8	89.1	2397.256508	644.6732911	430466.7488	4432556.853	33	331
1	1	1.3	0.25	1.2	95.5	822.9514646	144.9343861	446687.0137	4411445.957	35	223
1	2	2.8	0.3	1.2	52.8	1674.362293	1072.471852	463768.0976	4423086.531	27	325
1	1	2.4	0.35	1.98	52.8	2211.847194	27.09284353	436738.6112	4414459.14	27	325
1	1	2.53	0.3	0.5	95.8	177.0550483	110.1283125	450703.8707	4412243.818	31	290
4	1	4.29	0.36	1.97	325	214.9475222	642.3679095	445128.2994	4429521.16	40	2130
2	2	2.78	0.3	0.9	160	2879.710402	360.3380467	458354.3307	4436707.332	40	750
2	2	2.55	0.31	4.8	164.2	270.0489496	78.58981746	456031.5209	4418599.009	34	1450
2	2	2.5	0.32	2.95	137.1	402.2302633	316.4084969	457252.7191	4418242.566	29	970
1	2	2.83	0.3	2	62.9	587.9498887	451.73594	456625.5792	4419095.513	7	419
2	2	2.68	0.37	2.8	150	452.0532352	838.7795683	450478.242	4427720.209	31	1330
1	2	1.2	0.3	0.8	99.1	2393.692129	917.7047488	459802.855	4438432.254	21	235
1	2	2.86	0.35	2.8	93.3	485.2793497	396.2055816	451984.7225	4424541.441	31	1350
3	1	2.5	0.3	1.95	263	725.5258445	210.1719736	444120.0238	4414153.913	36	2999
3	2	4.1	0.31	1.76	495	839.7210975	269.305574	443586.1775	4414152.574	31	1900
1	2	0.6	0.6	4.88	94.1	4901.95116	975.8599155	447445.2825	4441036.761	29	680
3	2	0.33	0.69	2.5	194.7	1790.988954	1557.423232	477290.1162	4418716.781	15	1280
5	0	0.94	0.35	6	250	1229.446451	602.7520123	454771.454	4404074.16	40	1678
2	2	3	0.3	2.03	171.2	651.2953981	249.7280376	441502.7237	4421999.794	25	2290
2	2	1	0.6	2.5	140.7	5039.518559	485.0537744	449694.7641	4444410.627	28	540
5	2	3	0.3	8	586.1	1447.152903	60.97340124	442591.0032	4421823.599	30	6200
1	1	1	0.3	0.5	63.3	1322.085357	68.78785841	442811.3699	4421824.969	9	645
4	2	1.3	0.4	2.46	233.8	2722.66758	500.2145276	450963.3439	4440465.679	36	1250
9	2	0.5	0.3	8	1007.6	1381.764549	100.6542555	442904.479	4421953.63	29	9799
1	2	2.5	0.3	1.63	62.9	489.2395603	606.7555923	441974.6718	4420687.39	13	739
1	2	2.6	0.3	2.8	58.7	1109.816878	96.84991824	442018.789	4421782.397	11	799
1	2	1.5	0.2	1.2	79.6	978.6567019	264.1270932	441850.295	4421879.75	11	830
2	2	1.6	0.3	4.45	259.3	2695.989229	882.6415666	450861.4683	4439627.445	21	1550
1	2	4.07	0.33	1.16	108.3	1157.08851	350.6864521	443472.7128	4413853	25	867
1	3	2	0.3	0.8	61.6	714.1342116	103.8940074	444954.6122	4414199.611	13	758
1	2	3.6	0.25	1	82.8	114.5976206	286.1202542	443954.1333	4414776.042	1	780
1	1	1.5	0.3	0.8	71.6	813.1187215	84.07290219	444724.9635	4414090.612	18	740
1	2	1.8	0.3	1	60.7	503.6678425	178.8522429	444829.8138	4414655.154	25	696
1	2	2.5	0.3	1.88	95.9	579.0324709	250.8008941	444832.993	4414541.697	25	1060
1	1	2.5	0.2	1.5	79.3	823.2283648	237.2336667	444627.6456	4414209.496	22	788
2	2	4.2	0.3	3.3	244.9	1230.031905	350.407055	444177.0112	4413597.345	24	2268
1	1	3.8	0.4	2.53	143.7	1054.735755	96.57803969	444038.2891	4413818.818	23	1380
1	1	1.4	0.3	0.5	38.9	713.2925625	233.7729032	444699.7034	4413552.739	8	505
4	2	0.6	0.43	4	378.8	3593.359919	693.0436553	449972.0916	4439894.172	28	1650
3	1	0.5	0.2	0.9	263.9	356.5474517	32.33240013	446153.9783	4415650.684	38	2650
1	2	1.8	0.33	1.68	89.2	676.0651054	273.5496803	444497.669	4414343.224	22	820
1	2	2.2	0.3	0.9	73.5	575.9994632	124.0188784	444841.8784	4413761.338	1	810
1	2	2.54	0.3	1.5	78.9	499.490991	187.6301142	443547.5522	4414625.001	19	705
1	2	2.5	0.3	2.46	123.4	691.2792991	164.0858896	443983.7362	4414181.929	21	988
1	2	2	0.3	0.9	53	801.7925318	203.5447538	443764.36	4414112.159	1	518
1	2	1.2	0.3	2.3	92	227.813891	344.1949701	445514.6921	4413848.777	30	1050
1	2	4.07	0.3	0.5	52.8	745.5290959	184.6000862	444266.2528	4414168.91	5	580
2	1	4.37	0.3	4	120.7	264.6376705	151.4694163	445159.8634	4413742.902	37	1560
2	3	2	0.3	0.65	106	730.718296	275.0453971	444681.7592	4413741.61	18	988
2	2	2.2	0.31	0.65	170.9	483.2926151	150.4176208	444931.059	4413563.271	26	1696
3	2	0.6	0.3	1.5	226	1015.573413	876.9364724	458484.565	4431293.206	18	2100
5	0	0.66	0.66	7.5	373.9	4686.682097	376.9480801	449697.2432	4443804.434	35	1180
4	3	0.36	0.55	9	453.9	8890.458829	1116.077401	446932.6704	4448035.214	35	2000
5	0	2	0.31	2	420	799.0764493	1464.015745	451732.1112	4401353.45	38	1835
2	2	3.5	0.3	5.95	259.3	595.8572623	329.1573313	451403.7325	4420018.799	21	1550
3	3	2.6	0.35	8.5	263.9	1374.464551	433.1942611	438074.4505	4414708.364	39	2400
1	1	1.23	0.3	0.55	63.4	243.0306564	118.5417826	443182.4354	4419629.752	14	799
1	2	3	0.3	1.75	58	384.9503848	317.2934849	443329.9327	4419766.752	15	650
4	2	0.73	0.36	2.8	358	1645.530184	123.5780765	458542.7801	4414895.716	27	2000
2	2	2.6	0.31	2.4	141.2	751.7456761	517.1315225	457221.1521	4416174.083	28	730
1	2	2.6	0.31	2.4	100.6	660.1854634	606.0206861	457155.9926	4416312.178	28	770
1	2	2.86	0.3	2.8	130	825.3765491	441.2937697	456719.5703	4416651.859	29	1000
4	2	0.8	0.36	2	343.5	1969.404651	209.5061237	458875.3897	4414882.472	27	2080
1	2	2.54	0.31	1.5	95.4	487.9706481	367.7480543	457791.8435	4416459.722	27	615
4	2	3.35	0.6	4.68	239	381.7464375	793.7945837	456119.9273	4414290.965	29	1900
2	1	4.5	0.3	2	161.7	820.5109055	243.667967	456095.4346	4416058.478	26	1040
1	2	2.8	0.3	2.8	123.6	726.6853829	396.8170358	456576.4884	4416638.267	30	816
2	2	2.2	0.3	2.8	138.7	1015.274256	287.3860976	456741.8766	4416209.462	27	1278
1	2	2.54	0.31	1.5	63.6	386.6973328	383.8407303	457826.1751	4416628.111	29	365
1	2	2.54	0.31	1.5	97.8	237.5535093	679.6002207	457505.9402	4416626.197	28	620
3	0	2.5	0.3	0.9	367.7	477.0451644	47.04297113	454918.7983	4417455.754	37	5000
2	1	2.5	0.3	0.9	161	346.220958	626.6964515	455546.7957	4415355.314	27	650
2	2	1.5	0.35	2.65	148	4130.094045	450.0052801	419202.3331	4391521.256	23	999
1	1	2.4	0.35	0.9	122.1	639.440487	1234.714906	451328.6575	4401288.152	21	1350
